Abstimmungsnummer,Abstimmungsdatum,Titel,Offizieller Titel,Rechtsform,Initiativform,Stichwort,Volksmehr,Ständemehr,Ergebnis,Stimmbeteiligung (%),Ja-Stimmen,Nein-Stimmen,Kantone Ja,Kantone Nein,Swissvotes-Link
26.0,11.05.1884,Organisation des Justiz- und Polizeidepartements,Bundesgesetz betreffend die Organisation des eidgenössischen Justiz- und Polizeidepartements,Fakultatives Referendum,Nicht zutreffend,Teil des 'vierhöckrigen Kamels',0,3,Abgelehnt,60.088381,149729.0,214916.0,9.0,13.0,https://swissvotes.ch/vote/26.00
27.0,11.05.1884,Patenttaxen der Handelsreisenden,Bundesbeschluss betreffend die Patenttaxen der Handelsreisenden,Fakultatives Referendum,Nicht zutreffend,Teil des 'vierhöckrigen Kamels',0,3,Abgelehnt,60.088381,174195.0,189550.0,10.5,11.5,https://swissvotes.ch/vote/27.00
28.0,11.05.1884,Bundesstrafrecht (Stabio-Artikel),Bundesgesetz betreffend die Ergänzung des Bundesstrafrechtes vom 4. Februar 1853,Fakultatives Referendum,Nicht zutreffend,Teil des 'vierhöckrigen Kamels' / 'Stabio-Artikel',0,3,Abgelehnt,60.088381,159068.0,202773.0,10.5,11.5,https://swissvotes.ch/vote/28.00
29.0,11.05.1884,Beitrag an die Gesandtschaft in Washington,Bundesbeschluss betreffend Gewährung eines Beitrags von 10'000 Franken an die Kanzleikosten der schweizerischen Gesandtschaft in Washington,Fakultatives Referendum,Nicht zutreffend,Teil des 'vierhöckrigen Kamels',0,3,Abgelehnt,60.088381,137824.0,219728.0,6.5,15.5,https://swissvotes.ch/vote/29.00
30.0,25.10.1885,Bundeskompetenz zur Regelung des Alkoholwesens,Bundesbeschluss betreffend theilweise Änderung der Bundesverfassung der schweizerischen Eidgenossenschaft,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,60.420702,230250.0,157463.0,15.0,7.0,https://swissvotes.ch/vote/30.00
31.0,15.05.1887,Bundesgesetz betreffend gebrannte Wasser,Bundesgesetz betreffend gebrannte Wasser,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,62.451385,267122.0,138496.0,18.5,3.5,https://swissvotes.ch/vote/31.00
32.0,10.07.1887,Bundeskompetenz für den Erfindungsschutz,Bundesbeschluss betreffend Ergänzung des Artikels 64 der Bundesverfassung vom 29. Mai 1874,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,42.398129,203506.0,57862.0,20.5,1.5,https://swissvotes.ch/vote/32.00
33.0,17.11.1889,Gesetz über Schuldbetreibung und Konkurs,Bundesgesetz über Schuldbetreibung und Konkurs,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,70.871186,244317.0,217921.0,9.0,13.0,https://swissvotes.ch/vote/33.00
34.0,26.10.1890,Gesetzgebungsrecht über die Unfall- und Krankenversicherung,Bundesbeschluss betreffend Ergänzung der Bundesverfassung vom 29. Mai 1874 durch einen Zusatz bezüglich des Gesetzgebungsrechtes über Unfall- und Krankenversicherung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,59.748226,283228.0,92200.0,20.5,1.5,https://swissvotes.ch/vote/34.00
35.0,15.03.1891,Pensionsgesetz,Bundesgesetz betreffend die arbeitsunfähig gewordenen eidgenössischen Beamten und Angestellten,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,68.613927,91851.0,353977.0,1.5,20.5,https://swissvotes.ch/vote/35.00
36.0,05.07.1891,Einführung der Volksinitiative zur Teilrevision der Bundesverfassung,Bundesbeschluss betreffend Revision der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,49.923639,183029.0,120599.0,18.0,4.0,https://swissvotes.ch/vote/36.00
37.0,18.10.1891,Banknotenmonopol,Bundesbeschluss betreffend Revision von Art. 39 der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,61.965212,231578.0,158615.0,14.0,8.0,https://swissvotes.ch/vote/37.00
38.0,18.10.1891,Zolltarifgesetz,Bundesgesetz betreffend den schweizerischen Zolltarif,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,61.557035,220004.0,158934.0,15.0,7.0,https://swissvotes.ch/vote/38.00
39.0,06.12.1891,Rückkauf der Centralbahn,Bundesbeschluss betreffend den Ankauf der schweizerischen Centralbahn,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,64.261264,130729.0,289406.0,3.0,19.0,https://swissvotes.ch/vote/39.00
40.0,20.08.1893,Initiative für ein Schächtverbot,Volksinitiative «Verbot des Schlachtens ohne vorherige Betäubung»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,1,1,Angenommen,49.181732,191527.0,127101.0,11.5,10.5,https://swissvotes.ch/vote/40.00
41.0,04.03.1894,Bundeskompetenz für das Gewerbewesen,Bundesbeschluss vom 20. Dezember 1893 betreffend Ergänzung der Bundesverfassung durch einen Zusatz bezüglich des Rechts der Gesetzgebung über das Gewerbewesen,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,46.791036,135713.0,158492.0,7.5,14.5,https://swissvotes.ch/vote/41.00
42.0,03.06.1894,Initiative «zur Gewährleistung des Rechts auf Arbeit»,Volksinitiative «zur Gewährleistung des Rechts auf Arbeit»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,57.589121,75880.0,308289.0,0.0,22.0,https://swissvotes.ch/vote/42.00
43.0,04.11.1894,Zollinitiative,Volksinitiative «zur Abgabe eines Teils der Zolleinnahmen an die Kantone»,Volksinitiative,Ausformulierter Verfassungsentwurf,Beutezug-Initiative,0,0,Abgelehnt,72.852445,145462.0,350639.0,8.5,13.5,https://swissvotes.ch/vote/43.00
44.0,03.02.1895,Gesandtschaftsgesetz,Bundesgesetz betreffend die Vertretung der Schweiz im Auslande,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,46.327665,124517.0,177991.0,4.0,18.0,https://swissvotes.ch/vote/44.00
45.0,29.09.1895,Zündhölzchenmonopol,Bundesbeschluss über die Ergänzung der Bundesverfassung durch Zusatzbestimmungen betreffend die Einführung des Zündhölzchenmonopols,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,48.627554,140174.0,184109.0,7.5,14.5,https://swissvotes.ch/vote/45.00
46.0,03.11.1895,Revision der Verfassungsartikel zum Militär,Bundesbeschluss über die Revision der Militärartikel der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,0,0,Abgelehnt,67.875048,195178.0,269751.0,4.5,17.5,https://swissvotes.ch/vote/46.00
47.0,04.10.1896,Viehhandelsgesetz,Bundesgesetz betreffend die Gewährleistung beim Viehhandel,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,57.6035,174880.0,209118.0,8.5,13.5,https://swissvotes.ch/vote/47.00
48.0,04.10.1896,Gesetz über das Rechnungswesen der Eisenbahnen,Bundesgesetz über das Rechnungswesen der Eisenbahnen,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,57.838923,223228.0,176577.0,12.5,9.5,https://swissvotes.ch/vote/48.00
49.0,04.10.1896,Disciplinarstrafordnung der Armee,Bundesgesetz betreffend die Disciplinarstrafordnung für die eidgenössische Armee,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,57.584593,77169.0,310992.0,0.0,22.0,https://swissvotes.ch/vote/49.00
50.0,28.02.1897,Gesetz über die Errichtung der schweizerischen Bundesbank,Bundesgesetz über die Errichtung der schweizerischen Bundesbank,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,64.604483,195764.0,255984.0,7.5,14.5,https://swissvotes.ch/vote/50.00
51.0,11.07.1897,Bundeskompetenz bei der Wasserbau- und Forstpolizei,Bundesbeschluss über die Revision des Art. 24 der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,38.665166,156102.0,89561.0,16.0,6.0,https://swissvotes.ch/vote/51.00
52.0,11.07.1897,Bundeskompetenz für die Lebensmittelpolizei,"Bundesbeschluss betreffend Bundesgesetzgebung über den Verkehr mit Nahrungs- und Genussmitteln und mit solchen Gebrauchs- und Verbrauchsgegenständen, welche das Leben oder die Gesundheit gefährden können",Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,38.758347,162250.0,86955.0,18.5,3.5,https://swissvotes.ch/vote/52.00
53.0,20.02.1898,Gesetz über die schweizerischen Bundesbahnen,Bundesgesetz betreffend die Erwerbung und den Betrieb von Eisenbahnen für Rechnung des Bundes und die Organisation der Verwaltung der schweizerischen Bundesbahnen,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,78.07387,386634.0,182718.0,15.0,7.0,https://swissvotes.ch/vote/53.00
54.0,13.11.1898,Vereinheitlichung des Zivilrechts,Bundesbeschluss betreffend Revision des Artikels 64 der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,52.750196,264914.0,101762.0,16.5,5.5,https://swissvotes.ch/vote/54.00
55.0,13.11.1898,Vereinheitlichung des Strafrechts,Bundesbeschluss betreffend Aufnahme eines Artikels 64bis in die Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,52.800191,266610.0,101780.0,16.5,5.5,https://swissvotes.ch/vote/55.00
56.0,1900-05-20 00:00:00,"Gesetz zur Kranken-, Unfall- und Militärversicherung",Bundesgesetz betreffend die Kranken- und Unfallversicherung mit Einschluss der Militärversicherung,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,66.737965,148035.0,341914.0,1.0,21.0,https://swissvotes.ch/vote/56.00
57.0,1900-11-04 00:00:00,Initiative «für die Proporzwahl des Nationalrates»,Volksinitiative «für die Proporzwahl des Nationalrates»,Volksinitiative,Ausformulierter Verfassungsentwurf,Erste Proporzinitiative,0,0,Abgelehnt,58.762656,169008.0,244666.0,10.5,11.5,https://swissvotes.ch/vote/57.00
58.0,1900-11-04 00:00:00,Initiative für die Volkswahl des Bundesrates,Volksinitiative «für die Volkswahl des Bundesrates und die Vermehrung der Mitgliederzahl»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,58.814445,145926.0,270522.0,8.0,14.0,https://swissvotes.ch/vote/58.00
59.0,1902-11-23 00:00:00,Unterstützung der Primarschule durch den Bund,Bundesbeschluss betreffend die Unterstützung der öffentlichen Primarschule durch den Bund,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,46.635108,258567.0,80429.0,21.5,0.5,https://swissvotes.ch/vote/59.00
60.0,1903-03-15 00:00:00,Zolltarifgesetz,Bundesgesetz betreffend den schweizerischen Zolltarif,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,73.278308,332001.0,225123.0,15.0,7.0,https://swissvotes.ch/vote/60.00
61.0,1903-10-25 00:00:00,Bundesstrafrecht (Anstiftung Militärpflichtiger zu Verbrechen),Bundesgesetz betreffend Ergänzung des Bundesgesetzes über das Bundesstrafrecht der schweizerischen Eidgenossenschaft vom 4. Februar 1853,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,53.232956,117694.0,264085.0,0.0,22.0,https://swissvotes.ch/vote/61.00
62.0,1903-10-25 00:00:00,Initiative «für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung»,Volksinitiative «für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,53.253006,95131.0,295085.0,4.0,18.0,https://swissvotes.ch/vote/62.00
63.0,1903-10-25 00:00:00,Artikel über die Regulierung des Alkoholhandels,Bundesbeschluss betreffend Abänderung des Art. 32bis der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,Kleinhandel mit geistigen Getränken,0,0,Abgelehnt,53.09847,156777.0,228094.0,4.0,18.0,https://swissvotes.ch/vote/63.00
64.0,1905-03-19 00:00:00,Ausdehnung des Erfinderschutzes,Bundesbeschluss betreffend Revision des Art. 64 der Bundesverfassung (Ausdehnung des Erfinderschutzes),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,40.044745,199187.0,83935.0,21.5,0.5,https://swissvotes.ch/vote/64.00
65.0,1906-06-10 00:00:00,Lebensmittelgesetz,Bundesgesetz betreffend den Verkehr mit Lebensmitteln und Gebrauchsgegenständen,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,51.405828,245397.0,146760.0,17.5,4.5,https://swissvotes.ch/vote/65.00
66.0,1907-11-03 00:00:00,Militärorganisation der schweizerischen Eidgenossenschaft,Militärorganisation der schweizerischen Eidgenossenschaft,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,74.659297,329953.0,267605.0,12.5,9.5,https://swissvotes.ch/vote/66.00
67.0,1908-07-05 00:00:00,Verfassungsartikel zur Gesetzgebung über das Gewerbewesen,Bundesbeschluss betreffend Ergänzung der Bundesverfassung bezüglich des Rechts der Gesetzgebung über das Gewerbewesen,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,48.702913,232457.0,92561.0,21.5,0.5,https://swissvotes.ch/vote/67.00
68.0,1908-07-05 00:00:00,Initiative «für ein Absinthverbot»,Volksinitiative «für ein Absinthverbot»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,1,1,Angenommen,49.31375,241078.0,138669.0,20.0,2.0,https://swissvotes.ch/vote/68.00
69.0,1908-10-25 00:00:00,Verfassungsartikel über die Wasserkraft und Elektrizität,Bundesbeschluss betreffend die Aufnahme eines Zusatzartikels 24bis in die Bundesverfassung betreffend die Gesetzgebung des Bundes über die Nutzbarmachung der Wasserkräfte und über die Fortleitung und die Abgabe der elektrischen Energie,Direkter Gegenentwurf,Nicht zutreffend,.,1,1,Angenommen,48.286521,304923.0,56237.0,21.5,0.5,https://swissvotes.ch/vote/69.00
70.0,1910-10-23 00:00:00,Initiative «für die Proporzwahl des Nationalrates»,Volksinitiative «für die Proporzwahl des Nationalrates»,Volksinitiative,Ausformulierter Verfassungsentwurf,Zweite Proporzinitiative,0,1,Abgelehnt,62.346375,240305.0,265194.0,12.0,10.0,https://swissvotes.ch/vote/70.00
71.0,1912-02-04 00:00:00,Kranken- und Unfallversicherungsgesetz,Bundesgesetz über die Kranken- und Unfallversicherung,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,64.259448,287565.0,241416.0,15.0,7.0,https://swissvotes.ch/vote/71.00
72.0,1913-05-04 00:00:00,Bekämpfung menschlicher und tierischer Krankheiten,"Bundesbeschluss betreffend Revision der Artikel 69 und 31, 2.Absatz, lit.d, der Bundesverfassung (Bekämpfung menschlicher und tierischer Krankheiten)",Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,36.035893,169012.0,111163.0,16.5,5.5,https://swissvotes.ch/vote/72.00
73.0,1914-10-25 00:00:00,Schaffung eines Verwaltungsgerichts,Bundesbeschluss betreffend Revision von Art. 103 der Bundesverfassung und Aufnahme eines Artikels 114bis in die Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,44.058857,204394.0,123431.0,18.0,4.0,https://swissvotes.ch/vote/73.00
74.0,1915-06-06 00:00:00,Verfassungsgrundlage für eine einmalige Kriegssteuer,Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung zur Erhebung einer einmaligen Kriegssteuer,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,56.016115,452117.0,27461.0,22.0,0.0,https://swissvotes.ch/vote/74.00
75.0,1917-05-13 00:00:00,Stempelabgaben,"Bundesbeschluss betreffend die Einfügung eines Art. 41bis und eines Artikels 42, lit.g, in die Bundesverfasssung (Stempelabgaben)",Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,42.056886,190288.0,167689.0,14.5,7.5,https://swissvotes.ch/vote/75.00
76.0,1918-06-02 00:00:00,Initiative für eine direkte Bundessteuer,Volksinitiative «für die Einführung der direkten Bundessteuer»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,65.396177,276735.0,325814.0,7.5,14.5,https://swissvotes.ch/vote/76.00
77.0,1918-10-13 00:00:00,Initiative «für die Proporzwahl des Nationalrates»,Volksinitiative «für die Proporzwahl des Nationalrates»,Volksinitiative,Ausformulierter Verfassungsentwurf,Dritte Proporzinitiative,1,1,Angenommen,49.480315,299550.0,149035.0,19.5,2.5,https://swissvotes.ch/vote/77.00
78.0,1919-05-04 00:00:00,Artikel über die Schifffahrt,Bundesbeschluss betreffend Aufnahme eines Art. 24ter in die Bundesverfassung (Schiffahrt),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,53.893543,399131.0,78260.0,22.0,0.0,https://swissvotes.ch/vote/78.00
79.0,1919-05-04 00:00:00,Verfassungsgrundlage für eine ausserordentliche Kriegssteuer,Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung über die Erhebung einer neuen ausserordentlichen Kriegssteuer,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,53.764762,307528.0,165119.0,20.0,2.0,https://swissvotes.ch/vote/79.00
80.0,1919-08-10 00:00:00,Übergangsbestimmungen für vorgezogene Wahlen in den National- und Bundesrat,Bundesbeschluss betreffend die Aufnahme von Übergangsbestimmungen zu Art. 73 der Bundesverfassung,Obligatorisches Referendum,Nicht zutreffend,Proporzwahlen,1,1,Angenommen,32.827423,200008.0,79369.0,21.5,0.5,https://swissvotes.ch/vote/80.00
81.0,1920-03-21 00:00:00,Gesetz zur Ordnung des Arbeitsverhältnisses,Bundesgesetz betreffend die Ordnung des Arbeitsverhältnisses,Fakultatives Referendum,Nicht zutreffend,.,0,3,Abgelehnt,60.293883,254455.0,256401.0,10.0,12.0,https://swissvotes.ch/vote/81.00
82.1,1920-03-21 00:00:00,Initiative für ein Verbot der Spielbanken,Volksinitiative «für ein Verbot der Errichtung von Spielbanken»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,1,1,Angenommen,60.232341,276021.0,223122.0,14.0,8.0,https://swissvotes.ch/vote/82.10
82.2,1920-03-21 00:00:00,Gegenentwurf zur Initiative für ein Verbot der Spielbanken,Gegenentwurf zur Volksinitiative «für ein Verbot der Errichtung von Spielbanken»,Direkter Gegenentwurf,Nicht zutreffend,.,0,0,Abgelehnt,60.232341,122240.0,345327.0,0.5,21.5,https://swissvotes.ch/vote/82.20
83.0,1920-05-16 00:00:00,Beitritt zum Völkerbund,Bundesbeschluss betreffend den Beitritt der Schweiz zum Völkerbund,Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,77.469594,416870.0,323719.0,11.5,10.5,https://swissvotes.ch/vote/83.00
84.0,1920-10-31 00:00:00,Gesetz zur Arbeitszeit bei den Eisenbahnen,Bundesgesetz betreffend die Arbeitszeit beim Betriebe der Eisenbahnen und anderer Verkehrsanstalten,Fakultatives Referendum,Nicht zutreffend,.,1,3,Angenommen,68.103033,369466.0,277342.0,13.0,9.0,https://swissvotes.ch/vote/84.00
85.0,1921-01-30 00:00:00,Initiative für ein Staatsvertragsreferendum,Volksinitiative «für die Unterstellung von unbefristeten oder für eine Dauer von mehr als 15 Jahren abgeschlossenen Staatsverträgen unter das Referendum (Staatsvertragsreferendum)»,Volksinitiative,Ausformulierter Verfassungsentwurf,Waadtländer-Initiative,1,1,Angenommen,63.105339,398548.0,160004.0,20.0,2.0,https://swissvotes.ch/vote/85.00
86.0,1921-01-30 00:00:00,Initiative «für die Aufhebung der Militärjustiz»,Volksinitiative «für die Aufhebung der Militärjustiz»,Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,63.105339,198696.0,393151.0,3.0,19.0,https://swissvotes.ch/vote/86.00
87.0,1921-05-22 00:00:00,Artikel über den Automobil- und Fahrradverkehr,Bundesbeschluss betreffend Aufnahme eines Artikels 37bis in die Bundesverfassung (Automobil- und Fahrradverkehr),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,38.567562,206297.0,138876.0,15.5,6.5,https://swissvotes.ch/vote/87.00
88.0,1921-05-22 00:00:00,Artikel über die Luftschiffahrt,Bundesbeschluss betreffend Aufnahme eines Artikels 37ter in die Bundesverfassung (Luftschiffahrt),Obligatorisches Referendum,Nicht zutreffend,.,1,1,Angenommen,38.388711,210447.0,127943.0,20.5,1.5,https://swissvotes.ch/vote/88.00
89.0,1922-06-11 00:00:00,Initiative «betreffend die Erlangung des Schweizerbürgerrechts»,"Volksinitiative «betreffend die Erlangung des Schweizerbürgerrechts, Teil I»",Volksinitiative,Ausformulierter Verfassungsentwurf,.,0,0,Abgelehnt,45.599603,65828.0,347988.0,0.0,22.0,https://swissvotes.ch/vote/89.00
